keys,ko,en
"3,000원을 건네며 입을 막는다","3,000원을 건네며 입을 막는다","Hand over 3,000 won to keep her quiet"
왜 그러는지 솔직하게 말한다,왜 그러는지 솔직하게 말한다,Honestly explain why
무슨 소리냐고 잡아뗀다,무슨 소리냐고 잡아뗀다,Play dumb
…받을게. 대신 이번 한 번만이야.,…받을게. 대신 이번 한 번만이야.,…I'll take it. But just this once.
"…상자에 이름표가 붙어 있어서, 라고?","…상자에 이름표가 붙어 있어서, 라고?",…Because the crates had name tags on them?
우리 집에도 가디가 있었어. 아빠 빚 때문에 사채업자가 끌고 갔어. 목에 이름표 달린 채로.,우리 집에도 가디가 있었어. 아빠 빚 때문에 사채업자가 끌고 갔어. 목에 이름표 달린 채로.,We had a Growlithe at home too. The loan sharks took it because of my dad's debt. Still wearing its name tag.
"그래서 난 간부가 될 거야. 간부가 되면 빚을 갚고, 그 녀석을 찾을 수 있어. …이번엔 못 본 걸로 할게.","그래서 난 간부가 될 거야. 간부가 되면 빚을 갚고, 그 녀석을 찾을 수 있어. …이번엔 못 본 걸로 할게.",That's why I'm going to be an Executive. Then I can pay off the debt and find it. …I'll pretend I didn't see this time.
넌 요즘 실적이 괜찮네. 나랑 같이 간부 후보에 올라갈 수도 있겠어.,넌 요즘 실적이 괜찮네. 나랑 같이 간부 후보에 올라갈 수도 있겠어.,Your numbers are pretty good lately. We might both end up Executive candidates.
2주차 수요일,2주차 수요일,Week 2 · Wednesday
서류를 대조할 것. 할당량 5마리. 오늘 밤은 야간 재고 조사.,서류를 대조할 것. 할당량 5마리. 오늘 밤은 야간 재고 조사.,Check the files. Quota: 5. Overnight inventory tonight.
[수배] 고오스 (본사 연구동),[수배] 고오스 (본사 연구동),[Wanted] Gastly (HQ research wing)
[실종 전단] 노랑시티 격투도장에서 도장의 자랑 시라소몬을 찾습니다,[실종 전단] 노랑시티 격투도장에서 도장의 자랑 시라소몬을 찾습니다,"[Missing Flyer] Saffron City Fighting Dojo seeks its pride and joy, Hitmonlee"
[실종 전단] 우리 지우의 슬리프를 찾습니다. 밤마다 무서운 꿈을 먹어 주던 아이예요. 보라타운,[실종 전단] 우리 지우의 슬리프를 찾습니다. 밤마다 무서운 꿈을 먹어 주던 아이예요. 보라타운,[Missing Flyer] Looking for our Jiwoo's Drowzee. It ate the scary dreams away every night. Lavender Town
"[상록일보] 노랑시티 격투도장 관장, 도둑맞은 시라소몬을 찾겠다며 도장 문을 닫아.","[상록일보] 노랑시티 격투도장 관장, 도둑맞은 시라소몬을 찾겠다며 도장 문을 닫아.",[Viridian Daily] Saffron City Fighting Dojo master closes the dojo to search for stolen Hitmonlee.
시라소몬,시라소몬,Hitmonlee
노랑시티 격투도장 관장실에서 가져왔다.,노랑시티 격투도장 관장실에서 가져왔다.,Taken from the master's office at the Saffron City Fighting Dojo.
도장 문양이 새겨진 띠를 두르고 있다.,도장 문양이 새겨진 띠를 두르고 있다.,Wears a belt stitched with the dojo's crest.
노랑시티 격투도장,노랑시티 격투도장,Saffron City Fighting Dojo
"[상록일보] 격투도장 시라소몬, 소포로 돌아와. 관장 ""보낸 이에게 한 수 배우고 싶다.""","[상록일보] 격투도장 시라소몬, 소포로 돌아와. 관장 ""보낸 이에게 한 수 배우고 싶다.""","[Viridian Daily] Dojo's Hitmonlee returns by parcel. Master: ""I'd like to learn a thing or two from the sender."""
고오스,고오스,Gastly
보라타운 포켓몬타워에서 잡았다.,보라타운 포켓몬타워에서 잡았다.,Caught at Pokémon Tower in Lavender Town.
상자에 현장 보고서가 붙어 있다. '타워 작업 중 텅구리 한 마리가 새끼를 지키려고 저항 → 처리. 새끼 탕구리는 도망쳤다가 외곽에서 포획.',상자에 현장 보고서가 붙어 있다. '타워 작업 중 텅구리 한 마리가 새끼를 지키려고 저항 → 처리. 새끼 탕구리는 도망쳤다가 외곽에서 포획.',"A field report is stuck to the crate. 'During Tower op, a Marowak resisted to protect its young → dealt with. Baby Cubone fled, caught on the outskirts.'"
보라타운 어느 집 아이 방에서 데려왔다.,보라타운 어느 집 아이 방에서 데려왔다.,Taken from a child's bedroom in Lavender Town.
목에 명찰이 걸려 있다. '밤마다 우리 지우의 무서운 꿈을 먹어 주는 슬리프',목에 명찰이 걸려 있다. '밤마다 우리 지우의 무서운 꿈을 먹어 주는 슬리프',A name tag hangs from its neck. 'The Drowzee who eats our Jiwoo's bad dreams every night'
보라타운 지우네,보라타운 지우네,"Jiwoo's house, Lavender Town"
"[상록일보] 보라타운 어린이 지우, 일주일 만에 처음으로 악몽 없이 잠들어.","[상록일보] 보라타운 어린이 지우, 일주일 만에 처음으로 악몽 없이 잠들어.",[Viridian Daily] Lavender Town child Jiwoo sleeps without nightmares for the first time in a week.
[상록일보] 보라타운 어린이들 사이에서 악몽을 호소하는 일이 잇따라. 포켓몬타워 유령 소동과 관련이 있나,[상록일보] 보라타운 어린이들 사이에서 악몽을 호소하는 일이 잇따라. 포켓몬타워 유령 소동과 관련이 있나,[Viridian Daily] Reports of nightmares spread among Lavender Town kids. Linked to the Pokémon Tower ghost scare?
25번 도로 연못.,25번 도로 연못.,A pond on Route 25.
1번 도로.,1번 도로.,Route 1.
달맞이산.,달맞이산.,Mt. Moon.
2주차 수요일 · 야간 재고 조사,2주차 수요일 · 야간 재고 조사,Week 2 · Wednesday · Night Inventory
고오스 상자에 붙은 보고서가 머리에서 떠나지 않았다. 지난주 수요일의 그 탕구리였다. 녀석은 엄마를 잃고 혼자 울던 거였다.,고오스 상자에 붙은 보고서가 머리에서 떠나지 않았다. 지난주 수요일의 그 탕구리였다. 녀석은 엄마를 잃고 혼자 울던 거였다.,I couldn't get the report on the Gastly crate out of my head. It was that Cubone from last Wednesday. It had lost its mom and was crying all alone.
고오스 상자에 붙은 보고서가 머리에서 떠나지 않았다. 지난주 수요일에 내가 트럭에 실은 그 탕구리였다. 녀석은 엄마를 잃고 혼자 울던 거였다.,고오스 상자에 붙은 보고서가 머리에서 떠나지 않았다. 지난주 수요일에 내가 트럭에 실은 그 탕구리였다. 녀석은 엄마를 잃고 혼자 울던 거였다.,I couldn't get the report on the Gastly crate out of my head. It was the Cubone I loaded onto the truck last Wednesday. It had lost its mom and was crying all alone.
밤 열 시. 출근부 로사 칸에 로사의 이름을 대신 적었다. 창고에는 세나와 나 둘뿐이었다.,밤 열 시. 출근부 로사 칸에 로사의 이름을 대신 적었다. 창고에는 세나와 나 둘뿐이었다.,10 p.m. I signed Jessie's name in her slot on the timesheet. It was just Sena and me in the warehouse.
…로사 선배 어디 갔는지 안 물어볼게. 나도 오늘 밤엔 아무것도 못 본 거야.,…로사 선배 어디 갔는지 안 물어볼게. 나도 오늘 밤엔 아무것도 못 본 거야.,…I won't ask where Jessie went. I didn't see anything tonight either.
"로사 선배 서명, 네 글씨 같은데? …뭐, 내 알 바 아니지.","로사 선배 서명, 네 글씨 같은데? …뭐, 내 알 바 아니지.","Jessie's signature looks a lot like your handwriting. …Eh, not my problem."
"새벽 한 시, 창고 전화가 울렸다. 아폴로였다.","새벽 한 시, 창고 전화가 울렸다. 아폴로였다.","At 1 a.m., the warehouse phone rang. It was Archer."
야간 당번 로사를 바꿔라. 재고 수량을 확인해야겠다.,야간 당번 로사를 바꿔라. 재고 수량을 확인해야겠다.,Put Jessie on. She's on night duty. I need a stock count.
로사 선배는 창고 안쪽 재고를 세는 중이라고 둘러댄다,로사 선배는 창고 안쪽 재고를 세는 중이라고 둘러댄다,Say Jessie's counting stock in the back
아무 말 없이 전화를 끊는다,아무 말 없이 전화를 끊는다,Hang up without a word
…그럼 네가 세라. 틀리면 둘 다 책임이다.,…그럼 네가 세라. 틀리면 둘 다 책임이다.,"…Then you count. If it's wrong, you're both responsible."
끊긴 전화기에서 신호음만 한참 울렸다. 내일 아침 무슨 말을 들을지 알 수 없었다.,끊긴 전화기에서 신호음만 한참 울렸다. 내일 아침 무슨 말을 들을지 알 수 없었다.,The dial tone droned on and on. I had no idea what I'd hear in the morning.
"새벽 세 시, 로사가 돌아왔다. 얼굴이 하얗게 질려 있었다.","새벽 세 시, 로사가 돌아왔다. 얼굴이 하얗게 질려 있었다.","At 3 a.m., Jessie came back. Her face was white as a sheet."
기록 봤어. 엄마 이름 옆에 이렇게 적혀 있더라. '설산 임무 중 실종. 15년 전 사망 추정.',기록 봤어. 엄마 이름 옆에 이렇게 적혀 있더라. '설산 임무 중 실종. 15년 전 사망 추정.',"I saw the records. Next to Mom's name, it said: 'Missing on snowy mountain mission. Presumed dead 15 years ago.'"
15년이야. 나는 엄마 기록 한 줄 보려고 15년을 버틴 거야. 거기 적힌 건 한 줄뿐이었어.,15년이야. 나는 엄마 기록 한 줄 보려고 15년을 버틴 거야. 거기 적힌 건 한 줄뿐이었어.,Fifteen years. I held on for 15 years just to read one line about Mom. And one line was all there was.
2주차 목요일,2주차 목요일,Week 2 · Thursday
[수배] 로켓단 이탈 개체 M-04 (아보크). 발견 즉시 본사로.,[수배] 로켓단 이탈 개체 M-04 (아보크). 발견 즉시 본사로.,[Wanted] Team Rocket deserter unit M-04 (Arbok). Send to HQ on sight.
아보크,아보크,Arbok
설산 기슭에서 야생으로 잡혔다. 몸에 상처가 많다.,설산 기슭에서 야생으로 잡혔다. 몸에 상처가 많다.,Caught in the wild at the foot of the snowy mountains. Covered in wounds.
낡은 로켓단 목걸이를 차고 있다. 등록번호 M-04. 목걸이 안쪽에 작은 주머니가 달려 있다.,낡은 로켓단 목걸이를 차고 있다. 등록번호 M-04. 목걸이 안쪽에 작은 주머니가 달려 있다.,Wears an old Team Rocket collar. Reg. no. M-04. There's a tiny pouch inside the collar.
등록번호 M-04. 오늘 아침 내려온 수배 목록 맨 위에 있던 번호였다.,등록번호 M-04. 오늘 아침 내려온 수배 목록 맨 위에 있던 번호였다.,Reg. no. M-04. The very top number on the Wanted list that came down this morning.
목걸이 주머니 안에 접힌 종이가 있었다. 한참 망설이다가 펴 보았다.,목걸이 주머니 안에 접힌 종이가 있었다. 한참 망설이다가 펴 보았다.,There was a folded note in the collar pouch. I hesitated a long while before opening it.
"'로사에게. 엄마는 설산 북쪽 오두막에 있어. 본사는 엄마가 죽은 걸로 해 두었을 거야. 도망친 단원은 그렇게 처리하거든. 이 아이가 너를 찾아가게 해 볼게. 작년 겨울, 엄마가.'","'로사에게. 엄마는 설산 북쪽 오두막에 있어. 본사는 엄마가 죽은 걸로 해 두었을 거야. 도망친 단원은 그렇게 처리하거든. 이 아이가 너를 찾아가게 해 볼게. 작년 겨울, 엄마가.'","'Jessie, I'm in a cabin on the north side of the snowy mountains. HQ will have listed me as dead. That's what they do with deserters. I'll try to send this one to find you. Love, Mom. Last winter.'"
로사에게 보여 준다,로사에게 보여 준다,Show it to Jessie
"…이게 왜 여기 있어? 이 아보크, 엄마 거야. 어릴 때 이 녀석 꼬리에 매달려서 놀았어.","…이게 왜 여기 있어? 이 아보크, 엄마 거야. 어릴 때 이 녀석 꼬리에 매달려서 놀았어.","…Why is this here? This Arbok is Mom's. When I was little, I used to hang off its tail and play."
…작년 겨울? 엄마가 작년 겨울에 이걸 썼다고? 기록에는 15년 전에 죽었다고 적혀 있었는데.,…작년 겨울? 엄마가 작년 겨울에 이걸 썼다고? 기록에는 15년 전에 죽었다고 적혀 있었는데.,…Last winter? Mom wrote this last winter? The records said she died 15 years ago.
"본사가 거짓말을 한 거야. 엄마를 찾지 못하게, 아니, 찾을 생각도 못 하게.","본사가 거짓말을 한 거야. 엄마를 찾지 못하게, 아니, 찾을 생각도 못 하게.","HQ lied. So I wouldn't look for her. No, so I wouldn't even think to."
수배 벌금은 내가 낼게. 이 녀석은 내가 데리고 있을 거야. 그리고 이번 일 끝나면 난 설산에 간다.,수배 벌금은 내가 낼게. 이 녀석은 내가 데리고 있을 거야. 그리고 이번 일 끝나면 난 설산에 간다.,"I'll pay the Wanted fine. I'm keeping this one. And when this is over, I'm going to the snowy mountains."
건드리면 터질 것 같다. 조심해서 들 것.,건드리면 터질 것 같다. 조심해서 들 것.,Looks ready to blow if touched. Handle with care.
2주차 목요일 · M-04,2주차 목요일 · M-04,Week 2 · Thursday · M-04
"어젯밤 기록실에 쥐새끼가 들어왔더군. 로사, 네가 무슨 짓을 했는지 다 안다. 이번 달 월급은 절반이다.","어젯밤 기록실에 쥐새끼가 들어왔더군. 로사, 네가 무슨 짓을 했는지 다 안다. 이번 달 월급은 절반이다.","A little rat got into the records room last night. Jessie, I know exactly what you did. You're getting half pay this month."
궁금한 게 있으면 나한테 물었어야지. 네 엄마는 15년 전에 설산에서 죽었다. 이제 됐나?,궁금한 게 있으면 나한테 물었어야지. 네 엄마는 15년 전에 설산에서 죽었다. 이제 됐나?,"If you had questions, you should've asked me. Your mother died on the snowy mountain 15 years ago. Satisfied?"
로사는 아무 말도 하지 않았다. 그날 오전 내내 로사는 상자만 옮겼다.,로사는 아무 말도 하지 않았다. 그날 오전 내내 로사는 상자만 옮겼다.,"Jessie didn't say a word. All morning, she just moved crates."
…어제 일은 잊어. 일이나 하자.,…어제 일은 잊어. 일이나 하자.,…Forget about yesterday. Let's just work.
M-04는 수배 목록대로 본사 트럭에 실려 갔다. 로사는 오후 내내 다른 줄에서 일하고 있었다.,M-04는 수배 목록대로 본사 트럭에 실려 갔다. 로사는 오후 내내 다른 줄에서 일하고 있었다.,"M-04 went onto the HQ truck, as the Wanted list said. Jessie spent the whole afternoon working another line."
M-04는 뒷문으로 내보냈다. 녀석은 로사가 일하는 쪽을 한 번 돌아보고는 북쪽으로 기어갔다.,M-04는 뒷문으로 내보냈다. 녀석은 로사가 일하는 쪽을 한 번 돌아보고는 북쪽으로 기어갔다.,"I let M-04 out the back door. It looked back once toward where Jessie was working, then slithered north."
"퇴근 무렵, 세나가 창고 구석에서 전화를 붙들고 한참 서 있었다.","퇴근 무렵, 세나가 창고 구석에서 전화를 붙들고 한참 서 있었다.","Near quitting time, Sena stood in a corner of the warehouse, clutching the phone for a long time."
"…사채업자가 엄마 가게에 찾아왔대. 이번 주 안에 이자 3,000원을 못 내면 가게 유리를 다 깨 버리겠대.","…사채업자가 엄마 가게에 찾아왔대. 이번 주 안에 이자 3,000원을 못 내면 가게 유리를 다 깨 버리겠대.","…A loan shark showed up at Mom's shop. If she can't pay 3,000 won in interest this week, he'll smash every window."
"3,000원을 빌려준다","3,000원을 빌려준다","Lend 3,000 won"
나도 월세가 급하다고 한다,나도 월세가 급하다고 한다,Say rent's tight for you too
…꼭 갚을게. 다음 주 금요일에. 약속해.,…꼭 갚을게. 다음 주 금요일에. 약속해.,…I'll pay you back. Next Friday. I promise.
알아. 다들 그렇지. 괜히 말했다.,알아. 다들 그렇지. 괜히 말했다.,I know. Same for everyone. Forget I said anything.
2주차 금요일,2주차 금요일,Week 2 · Friday
"주말 대형 이송. 할당량 6마리. 저녁에 월세 15,000원.","주말 대형 이송. 할당량 6마리. 저녁에 월세 15,000원.","Big weekend shipment. Quota: 6. Rent of 15,000 won due tonight."
[수배] 스라크 (경매용),[수배] 스라크 (경매용),[Wanted] Scyther (for auction)
[실종 전단] 할아버지의 럭키를 찾습니다. 보라타운 포켓몬하우스,[실종 전단] 할아버지의 럭키를 찾습니다. 보라타운 포켓몬하우스,"[Missing Flyer] Looking for Grandpa's Chansey. Pokémon House, Lavender Town"
스라크,스라크,Scyther
사파리존 깊은 곳에서 잡았다.,사파리존 깊은 곳에서 잡았다.,Caught deep in the Safari Zone.
"[상록일보] 보라타운 포켓몬하우스의 후지 노인이 쓰러졌다. ""럭키가 없으니 잠을 못 이루셨다""는 이웃의 말.","[상록일보] 보라타운 포켓몬하우스의 후지 노인이 쓰러졌다. ""럭키가 없으니 잠을 못 이루셨다""는 이웃의 말.","[Viridian Daily] Mr. Fuji of Lavender Town's Pokémon House collapses. ""He couldn't sleep without Chansey,"" says a neighbor."
보라타운 포켓몬하우스 앞마당에서 데려왔다.,보라타운 포켓몬하우스 앞마당에서 데려왔다.,Taken from the front yard of Pokémon House in Lavender Town.
목에 '후지 할아버지네'라고 적힌 방울이 달려 있다.,목에 '후지 할아버지네'라고 적힌 방울이 달려 있다.,It wears a bell that reads 'Mr. Fuji's.'
보라타운 포켓몬하우스,보라타운 포켓몬하우스,"Pokémon House, Lavender Town"
"[상록일보] 보라타운 포켓몬하우스의 럭키 귀가. 후지 노인 ""세상에 아직 좋은 사람이 있다.""","[상록일보] 보라타운 포켓몬하우스의 럭키 귀가. 후지 노인 ""세상에 아직 좋은 사람이 있다.""","[Viridian Daily] Chansey returns to Lavender Town's Pokémon House. Mr. Fuji: ""There are still good people in this world."""
달맞이산 동굴.,달맞이산 동굴.,A cave on Mt. Moon.
2주차 금요일 · 서명,2주차 금요일 · 서명,Week 2 · Friday · The Signature
"세나가 보고하더군. 수요일 밤, 로사 대신 출근부에 서명한 녀석이 있다고.","세나가 보고하더군. 수요일 밤, 로사 대신 출근부에 서명한 녀석이 있다고.","Sena reported something. Wednesday night, someone signed the timesheet for Jessie."
누구지? 나와라.,누구지? 나와라.,Who was it? Step forward.
내가 했다고 나선다,내가 했다고 나선다,Admit you did it
가만히 있는다,가만히 있는다,Stay quiet
신입이? 배짱은 있군. 이번엔 경고로 끝낸다. 네 이름은 기억해 두지.,신입이? 배짱은 있군. 이번엔 경고로 끝낸다. 네 이름은 기억해 두지.,The new hire? You've got guts. I'll let it go with a warning this time. But I'll remember your name.
"아무도 없나. 그럼 로사, 네 책임이다. 다음 주부터 넌 야간조다.","아무도 없나. 그럼 로사, 네 책임이다. 다음 주부터 넌 야간조다.","No one? Then it's on you, Jessie. You're on the night shift starting next week."
…괜찮아. 너까지 끌려 들어갈 필요는 없었어.,…괜찮아. 너까지 끌려 들어갈 필요는 없었어.,…It's fine. No need for you to get dragged into this too.
나도 점수가 필요했어. 미안하다는 말은 안 할게.,나도 점수가 필요했어. 미안하다는 말은 안 할게.,I needed the points too. I'm not going to say sorry.
2주차 토요일,2주차 토요일,Week 2 · Saturday
2주차 토요일 · 쉬는 날,2주차 토요일 · 쉬는 날,Week 2 · Saturday · Day Off
무지개시티역 앞에서 초등학생쯤 되는 여자아이가 지나가는 사람마다 전단을 나눠 주고 있었다.,무지개시티역 앞에서 초등학생쯤 되는 여자아이가 지나가는 사람마다 전단을 나눠 주고 있었다.,"In front of Celadon Station, a girl about grade-school age was handing flyers to everyone who passed."
솜이를 찾아요. 분홍 리본을 단 이브이예요. 혹시 보셨어요?,솜이를 찾아요. 분홍 리본을 단 이브이예요. 혹시 보셨어요?,I'm looking for Fluffy. She's an Eevee with a pink ribbon. Have you seen her?
전단을 받고 그냥 지나간다,전단을 받고 그냥 지나간다,Take a flyer and keep walking
고개를 돌리고 서둘러 지나간다,고개를 돌리고 서둘러 지나간다,Look away and hurry past
솜이가 로켓단 창고를 거쳐 갔다고 알려 준다,솜이가 로켓단 창고를 거쳐 갔다고 알려 준다,Tell her Fluffy went through a Team Rocket warehouse
로켓단…? 고맙습니다! 경찰 아저씨한테 바로 말할게요!,로켓단…? 고맙습니다! 경찰 아저씨한테 바로 말할게요!,Team Rocket…? Thank you! I'll go tell the police right now!
아이는 전단 뭉치를 끌어안고 경찰서 쪽으로 뛰어갔다. 내 얼굴을 한참 쳐다본 뒤였다.,아이는 전단 뭉치를 끌어안고 경찰서 쪽으로 뛰어갔다. 내 얼굴을 한참 쳐다본 뒤였다.,"The girl hugged her stack of flyers and ran toward the police station, but only after staring at my face for a long time."
"등 뒤에서 아이가 ""저기요!"" 하고 부르는 소리가 들렸다. 돌아보지 않았다.","등 뒤에서 아이가 ""저기요!"" 하고 부르는 소리가 들렸다. 돌아보지 않았다.","Behind me, the girl called out, ""Excuse me!"" I didn't turn around."
"[실종 전단] 솜이를 찾습니다. 분홍 리본을 단 이브이. 사례금 10,000원으로 올립니다. 제발요. 무지개시티 하나","[실종 전단] 솜이를 찾습니다. 분홍 리본을 단 이브이. 사례금 10,000원으로 올립니다. 제발요. 무지개시티 하나","[Missing Flyer] Looking for Fluffy. Eevee with a pink ribbon. Reward raised to 10,000 won. Please. Hana, Celadon City"
3주차 월요일,3주차 월요일,Week 3 · Monday
[수배] 마임맨 (공연단 판매용),[수배] 마임맨 (공연단 판매용),[Wanted] Mr. Mime (for sale to a troupe)
[실종 전단] 나나의 포니타를 찾습니다. 굴레에 이름이 수놓여 있어요. 태초마을,[실종 전단] 나나의 포니타를 찾습니다. 굴레에 이름이 수놓여 있어요. 태초마을,[Missing Flyer] Looking for Daisy's Ponyta. Its name is stitched on the bridle. Pallet Town
[회수 완료] 로켓단 이탈 개체 M-04. 목걸이 속 쪽지 확보. 본사 처리.,[회수 완료] 로켓단 이탈 개체 M-04. 목걸이 속 쪽지 확보. 본사 처리.,[Retrieved] Team Rocket deserter unit M-04. Note in collar secured. Processed by HQ.
샤미드,샤미드,Vaporeon
본사 진화 시설에서 돌아왔다. '매매 대기'.,본사 진화 시설에서 돌아왔다. '매매 대기'.,Back from HQ's evolution facility. 'Awaiting sale.'
분홍 리본이 목에 감겨 있다. 물에 젖어서 색이 많이 바랬다.,분홍 리본이 목에 감겨 있다. 물에 젖어서 색이 많이 바랬다.,"A pink ribbon is tied around its neck, badly faded from the water."
무지개시티 하나네 집,무지개시티 하나네 집,"Hana's house, Celadon City"
[상록일보] 실종 3주 만에 돌아온 '솜이'. 이브이가 아니라 샤미드였지만 하나 양은 리본을 보고 바로 알아봤다.,[상록일보] 실종 3주 만에 돌아온 '솜이'. 이브이가 아니라 샤미드였지만 하나 양은 리본을 보고 바로 알아봤다.,"[Viridian Daily] ""Fluffy"" home after 3 weeks missing. She came back a Vaporeon, not an Eevee, but young Hana knew her by the ribbon."
분홍 리본을 보는 순간 알았다. 솜이였다.,분홍 리본을 보는 순간 알았다. 솜이였다.,"The second I saw the pink ribbon, I knew. It was Fluffy."
"2주 전 월요일, 내가 트럭에 실은 그 이브이. 본사는 물의돌로 녀석을 진화시켜 비싼 값에 팔려고 다시 내려보낸 것이다.","2주 전 월요일, 내가 트럭에 실은 그 이브이. 본사는 물의돌로 녀석을 진화시켜 비싼 값에 팔려고 다시 내려보낸 것이다.",The Eevee I loaded onto the truck two Mondays ago. HQ had evolved her with a Water Stone and sent her back down to sell at a higher price.
서류철에는 하나라는 아이가 붙인 전단이 아직 꽂혀 있었다. 사례금은 두 배로 올라 있었다.,서류철에는 하나라는 아이가 붙인 전단이 아직 꽂혀 있었다. 사례금은 두 배로 올라 있었다.,The flyer from the girl named Hana was still tucked in the Files. The reward had doubled.
마임맨,마임맨,Mr. Mime
무지개시티 거리 공연단에서 데려왔다.,무지개시티 거리 공연단에서 데려왔다.,Taken from a Celadon City street troupe.
상자 안에서도 보이지 않는 벽을 더듬고 있다.,상자 안에서도 보이지 않는 벽을 더듬고 있다.,"Even inside the crate, it's feeling around an invisible wall."
태초마을 오박사 댁 마구간에서 데려왔다.,태초마을 오박사 댁 마구간에서 데려왔다.,Taken from the stable at Professor Oak's home in Pallet Town.
갈기에 빗질 자국이 가지런하다. 굴레에 '나나'라고 수가 놓여 있다.,갈기에 빗질 자국이 가지런하다. 굴레에 '나나'라고 수가 놓여 있다.,Its mane is neatly brushed. 'Daisy' is stitched on the bridle.
태초마을 오박사 댁,태초마을 오박사 댁,"Professor Oak's home, Pallet Town"
"[상록일보] 오박사의 손녀 나나 씨의 포니타, 소포로 돌아와. ""보낸 사람 글씨가 어쩐지 낯익다""","[상록일보] 오박사의 손녀 나나 씨의 포니타, 소포로 돌아와. ""보낸 사람 글씨가 어쩐지 낯익다""","[Viridian Daily] Ponyta of Daisy, Professor Oak's granddaughter, returns by parcel. ""Somehow the sender's handwriting looks familiar."""
"나나. 오박사의 손녀이자 옆집 애의 친구, 그리고 그린의 누나. 어릴 때 이 포니타 갈기를 몇 번 쓰다듬은 적이 있다.","나나. 오박사의 손녀이자 옆집 애의 친구, 그리고 그린의 누나. 어릴 때 이 포니타 갈기를 몇 번 쓰다듬은 적이 있다.","Daisy. Professor Oak's granddaughter, friend of the kid next door, and Blue's big sister. I stroked this Ponyta's mane a few times when I was little."
바위산 터널.,바위산 터널.,Rock Tunnel.
4번 도로.,4번 도로.,Route 4.
3주차 · 로이의 집,3주차 · 로이의 집,Week 3 · James's Family
"[상록일보] 소년 트레이너, 갈색시티 체육관 격파. 상트앤 호에서 로켓단 조직원과 맞섰다는 목격담도.","[상록일보] 소년 트레이너, 갈색시티 체육관 격파. 상트앤 호에서 로켓단 조직원과 맞섰다는 목격담도.",[Viridian Daily] Boy Trainer beats Vermilion Gym. Witnesses say he also faced Team Rocket members on the S.S. Anne.
…잠깐. 이 서류 뭐야. 'M-04 회수 완료. 목걸이 속 쪽지 확보.',…잠깐. 이 서류 뭐야. 'M-04 회수 완료. 목걸이 속 쪽지 확보.',…Wait. What's this paper? 'M-04 retrieved. Note in collar secured.'
M-04는 우리 엄마 아보크 번호야. 어릴 때부터 외우고 있던 번호라고. 지난주 목요일에 들어왔다고? 그날 검수 누가 했어?,M-04는 우리 엄마 아보크 번호야. 어릴 때부터 외우고 있던 번호라고. 지난주 목요일에 들어왔다고? 그날 검수 누가 했어?,M-04 is my mom's Arbok. I've known that number by heart since I was a kid. It came in last Thursday? Who did the inspection that day?
검수 기록에는 내 이름이 적혀 있었다. 로사는 그 종이를 한참 들여다봤다.,검수 기록에는 내 이름이 적혀 있었다. 로사는 그 종이를 한참 들여다봤다.,My name was on the inspection record. Jessie stared at the page for a long time.
"쪽지가 있었다며. 그걸 읽고도 보냈어? …아니, 대답하지 마.","쪽지가 있었다며. 그걸 읽고도 보냈어? …아니, 대답하지 마.","There was a note, right? You read it and sent it anyway? …No, don't answer."
변명하지 않고 사과한다,변명하지 않고 사과한다,Apologize without excuses
수배 목록대로 했을 뿐이라고 말한다,수배 목록대로 했을 뿐이라고 말한다,Say you just followed the Wanted list
…사과는 받을게. 용서는 나중에 생각해 볼게.,…사과는 받을게. 용서는 나중에 생각해 볼게.,"…I'll take the apology. Forgiveness, I'll think about later."
그래. 넌 시키는 대로 했지. 나도 15년 동안 그랬어. 그래서 더 화가 나.,그래. 넌 시키는 대로 했지. 나도 15년 동안 그랬어. 그래서 더 화가 나.,"Right. You did what you were told. So did I, for 15 years. That's why I'm even angrier."
…나 오늘 오후에 병원 가 봐야 해. 아빠가 사채업자한테 맞고 실려 갔대.,…나 오늘 오후에 병원 가 봐야 해. 아빠가 사채업자한테 맞고 실려 갔대.,…I have to go to the hospital this afternoon. A loan shark beat up my dad and he got taken in.
내 몫 검수까지 네가 해 줄 수 있어? 아폴로 간부님한테 들키면 둘 다 혼나겠지만.,내 몫 검수까지 네가 해 줄 수 있어? 아폴로 간부님한테 들키면 둘 다 혼나겠지만.,"Could you do my inspections too? If Archer finds out, we'll both get chewed out, though."
"해 준다 (할당량 +1, 의심도 +10)","해 준다 (할당량 +1, 의심도 +10)","Cover for her (Quota +1, Suspicion +10)"
오늘은 나도 버겁다고 한다,오늘은 나도 버겁다고 한다,Say you're swamped too today
고마워. 이 빚까지 합쳐서 꼭 갚을게.,고마워. 이 빚까지 합쳐서 꼭 갚을게.,"Thanks. I'll pay you back for this too, I swear."
"점심 무렵, 창고 앞에 검은 고급차 한 대가 섰다. 창고랑은 전혀 어울리지 않는 차였다.","점심 무렵, 창고 앞에 검은 고급차 한 대가 섰다. 창고랑은 전혀 어울리지 않는 차였다.","Around noon, a sleek black car pulled up in front of the warehouse. It looked completely out of place."
실례합니다. 저는 상록시티 외곽 저택의 집사입니다. 저희 로이 도련님을 찾고 있습니다.,실례합니다. 저는 상록시티 외곽 저택의 집사입니다. 저희 로이 도련님을 찾고 있습니다.,"Pardon me. I am the butler of a manor on the outskirts of Viridian City. I'm searching for our young master, James."
